"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"485",1.73205080756888,1.4142135623731,2.23606797749979,1,0,1,0,0
"486",1,2,2.23606797749979,0,0,1,0,0
"487",2.44948974278318,1.73205080756888,1.86815416922694,1,0,1,0,0
"489",4.47213595499958,2,1.26885775404495,1,1,0,0,0
"490",1,1.4142135623731,1.31909059582729,1,0,1,0,0
"492",3.3166247903554,1,0.860232526704263,0,0,1,0,0
"493",3.60555127546399,1,0.866025403784439,0,1,0,0,0
"494",4.47213595499958,0,1.34164078649987,0,0,1,0,0
"495",2.44948974278318,1.73205080756888,2.10237960416286,1,0,0,1,0
"496",1.4142135623731,1.73205080756888,1.22065556157337,0,0,0,1,0
"498",3.87298334620742,1.4142135623731,1.74355957741627,1,1,0,0,0
"499",3.87298334620742,1.73205080756888,1.49666295470958,1,0,0,1,0
"500",3.46410161513775,0,0.223606797749979,1,1,0,0,0
"501",3.46410161513775,1.4142135623731,2.2248595461287,1,1,0,0,0
"502",2.82842712474619,1,0.959166304662544,1,0,0,0,1
"503",3,1.73205080756888,1.64012194668567,0,0,0,1,0
"505",3.3166247903554,1.73205080756888,1.74928556845359,1,1,0,0,0
"506",2.82842712474619,1.73205080756888,2.23606797749979,1,0,1,0,0
"508",2.64575131106459,1,0.806225774829855,0,0,0,0,1
"509",2.82842712474619,1.4142135623731,1.64012194668567,0,0,1,0,0
"510",3.60555127546399,1.4142135623731,1.38202749610853,0,1,0,0,0
"511",1,2,2.23606797749979,0,1,0,0,0
"512",2.23606797749979,1.4142135623731,1.56843871413581,1,0,1,0,0
"513",4.12310562561766,1,0.860232526704263,1,0,0,0,1
"514",1.73205080756888,1,1.48323969741913,1,1,0,0,0
"516",1.73205080756888,1.73205080756888,1.62788205960997,1,0,0,1,0
"517",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"518",1,1.73205080756888,2.23606797749979,0,0,0,1,0
"519",1.73205080756888,1.73205080756888,1.26885775404495,1,0,1,0,0
"521",0,1.73205080756888,1.40712472794703,0,1,0,0,0
"522",3.16227766016838,2,2.23606797749979,1,1,0,0,0
"523",2.44948974278318,1.4142135623731,1.0770329614269,0,0,1,0,0
"524",4,1.73205080756888,0.734846922834953,1,0,1,0,0
"526",3,1.73205080756888,1.0770329614269,1,1,0,0,0
"528",2.44948974278318,1.73205080756888,1.05356537528527,1,0,1,0,0
"529",4.35889894354067,1,0.932737905308881,0,0,1,0,0
"530",1.4142135623731,2,2.23606797749979,1,1,0,0,0
"531",2.23606797749979,1.73205080756888,1.74928556845359,0,1,0,0,0
"532",2,1.4142135623731,1.26095202129185,1,1,0,0,0
"534",2,1.73205080756888,2.23606797749979,0,0,0,1,0
"536",4.47213595499958,2,1.0770329614269,0,1,0,0,0
"538",1.73205080756888,1.73205080756888,2.11896201004171,0,1,0,0,0
"539",1,1.4142135623731,2.23606797749979,0,0,1,0,0
"540",2.23606797749979,1.4142135623731,1.47309198626562,0,1,0,0,0
"542",2.64575131106459,1.73205080756888,1.04880884817015,0,0,1,0,0
"543",3,1.73205080756888,1.3114877048604,1,0,0,1,0
"544",1.4142135623731,2,2.23606797749979,1,1,0,0,0
